DYA;R;PIC
0.7652024839;0.7116666667;0.2082216735
-0.2325562722;0.7308333333;0.2077890116
0.5963723877;0.7416666667;0.4330777207
0.684125019;0.7408333333;0.1752081044
1.7641180213;0.8325;0.1312049171
0.2315680702;0.8633333333;0.80841184
1.6660984798;0.8658333333;0.3153698931
0.6838433478;0.8725;0.2281768435
1.1196284661;0.8641666667;0.3995947899
-0.1309701369;0.8941666667;0.452988042
1.9729365868;0.9941666667;0.4995745738
0.8504869725;1.02;0.4608023676
1.8666203688;1.0191666667;0.3864039101
1.9435288423;1.0416666667;0.684605124
2.1361177158;1.14;0.6383317723
0.0610441818;1.2283333333;0.8172980052
0.5582245585;1.3525;0.9626747273
0.5185688737;1.3908333333;0.8319079945
0.5507079338;1.2058333333;0.4162577555
-0.3125178671;0.9975;0.5064176099
0.449764304;0.9733333333;0.9540476261
0.2975070549;1.0433333333;1.1082325343
1.629733454;1.1975;1.1016468188
1.317892242;1.4958333333;1.0511271817
0.3641526443;1.4866666667;0.9748160436
-0.0832347012;1.4791666667;1.4016518673
1.1047974927;1.6416666667;1.026527406
-0.104089577;2.0816666667;1.263263714
0.229910235;2.2458333333;1.3978217478
-0.9724049125;2.235;1.2814420263
-0.6674474164;2.1433333333;1.4014650016
-0.3917138999;1.9716666667;1.3820951097
0.3486650949;1.6766666667;0.8172205656
-1.6608074197;1.3916666667;1.3132937321
2.1221436577;0.9641666667;1.5074933979
-0.0298622794;1.1416666667;1.3054020532
0.2661214182;1.3691666667;1.0125118876
-0.3320702102;1.1875;0.8305773099
0.6928044708;0.8866666667;1.5126648878
1.7185179896;1.075;0.6205531869
0.4096219293;1.1858333333;0.9507066038
1.1826672384;1.2866666667;1.2670582084
1.9301214997;1.6341666667;1.1457007192
0.5667155952;1.9541666667;1.5276801838
-1.0429792974;2.64;1.926230166
0.4390675795;2.4991666667;1.9731808274
-1.3752900893;2.3308333333;1.8695990387
-0.2714011362;2.8125;2.3358372268
-1.4502552511;3.0225;2.8897373318
-0.8895756624;2.3366666667;2.8990863124
-1.7094334915;1.5758333333;2.2477044448
0.2393358744;1.355;1.4745158577
1.1285868584;1.54;1.749756623
0.8461891627;1.3533333333;1.6600094497
1.7470735118;1.2066666667;1.0510423763
0.2813890941;1.2991666667;1.002289444
0.0634717228;1.3208333333;1.2847410795
0.2767623197;1.2183333333;1.7766879406
0.7421872552;1.165;1.5947929321
1.4549435871;1.2891666667;1.4015874812
1.2981268426;1.455;1.2096791979
-0.4425641411;1.6283333333;2.138712921
-0.1097866175;1.6891666667;1.4419591651
3.3599291124;1.8208333333;1.89486431
0.5436375808;2.025;1.684142893
0.8685093945;2.3958333333;2.0244978394
-0.2687794011;2.5183333333;1.8068514046
-0.314189567;2.545;2.4200549887
0.2834081309;2.7366666667;2.1632932136
-0.2664877317;3.3941666667;1.8384465733
-0.1111819526;3.7616666667;2.0793091592
-2.4729676641;3.1716666667;2.3510301899
-0.5332005187;2.4591666667;2.2090655418
1.5015514321;3.9633333333;2.571371693
1.594093226;4.1425;2.6000618188
-1.073122809;4.445;1.9622378998
0.8522057196;4.3941666667;1.8647477739
