Date,c_rgd_obs,ifi_rgd_obs,gdp_rgd_obs,gdpdef_obs,wage_rgd_obs,ffr_obs,cpiinf_obs,emp_obs,unr_obs,hours_sw07_obs,core_obs
1979Q2,-0.208104010126135,-0.889742363339622,-0.314410784929919,2.42157911822187,-0.15618946952327,10.18,2.77,0.12,5.70,-0.794561967715879,1.84106017439351
1979Q3,0.809804250312482,1.51603874364997,0.284131559239768,2.16049033483854,0.034939239952088,10.9466666666667,2.97,0.68,5.87,-0.268689637609384,1.88085335144159
1979Q4,0.282782818455871,-1.27466416223456,-0.266664741654949,1.8397365139716,0.648624527984168,13.5766666666667,3.31,0.60,5.97,-0.204708064251861,1.9946290421328
1980Q1,0.313569958274172,-1.50803873801726,-0.111995163634447,2.07909757601148,0.683424949570686,15.0466666666667,3.65,0.23,6.30,-0.933911748219543,2.33714740423663
1980Q2,-2.60117676115766,-9.03082309458785,-2.47334143734236,2.35105351388865,0.307968497849934,12.6866666666667,3.57,-0.91,7.33,-3.0520213729157,2.23678567599442
1980Q3,0.783479815735973,0.720516054041184,-0.532237480739923,2.21038813334693,0.290689563827662,9.83666666666667,3.19,-0.05,7.67,-3.69601932417021,2.3775064470291
1980Q4,0.869923713851563,2.90243906599358,1.501240739541,2.5721915833874,0.0555119711845578,15.8533333333333,3.09,0.60,7.40,-2.96450845211626,2.41166464781835
1981Q1,-0.0507908669214885,0.560107904916436,1.59421626564711,2.59895393900473,-0.119785666174785,16.57,2.65,0.74,7.43,-2.4467981614747,2.26782263933151
1981Q2,-0.620087901507077,0.677188393637607,-1.07289269639307,1.96311535839233,-0.247242963111844,17.78,2.42,0.56,7.40,-2.61909437459008,2.22592629040988
1981Q3,-0.106180335736724,-0.510394714908841,0.85180983384862,1.86323341142121,0.336321860244944,17.5766666666667,2.74,-0.32,7.40,-3.65977621436252,2.10736255286428
1981Q4,-1.22284977972288,-0.372775827470718,-1.4342421254396,1.71343590394666,-0.085335206396131,13.5866666666667,2.23,-0.40,8.23,-4.3303518416738,1.92859157578037
1982Q1,0.332515069113697,-3.09602145086535,-1.8616788006882,1.36736397605555,1.21679183828617,14.2266666666667,1.72,-0.37,8.83,-5.90669247768278,1.73814015552385
